Name,Address,Lat,Lon,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Trotter Family YMCA,"1331 Augusta Dr, Houston, TX 77057",29.75305727,-95.481607,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-8:00PM,7:00AM-6:00PM,10:00AM-6:00PM
Jungman Neighborhood Library,"5830 Westheimer Rd, Houston, TX 77057",29.73866712,-95.48124138,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Looscan Neighborhood Library,"2510 Willowick Rd, Houston, TX 77027",29.74285182,-95.4413615,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Burnett Bayland Community Center,"6200 Chimney Rock, Houston, TX 77081",29.71559625,-95.47775471,,,,,,10:00AM-4:00PM,
Weekley Family YMCA,"7101 Stella Link Rd, Houston, TX 77025",29.70010164,-95.43905622,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-8:00PM,7:00AM-6:00PM,12:00PM-6:00PM
McGovern - Stella Link Library,"7405 Stella Link Rd, Houston, TX 77025",29.69824823,-95.43905687,12:00PM-8:00PM,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Sunnyside Multi-service Center,"4410 Reed Rd, Houston, TX 77051",29.65779718,-95.36079516,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,,12:00PM-6:00PM
Johnson Neighborhood Library,"3517 Reed Rd, Houston, TX 77051",29.65883504,-95.37077462,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Sunnyside Community Center,"3502 W Bellfort Ave, Houston, TX 77051",29.66891238,-95.3722795,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,10:00AM-2:00PM,
Candlelight Community Center,"1520 Candlelight Ln, Houston, TX 77018",29.83662358,-95.43734913,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,10:00AM-2:00PM,
Oak Forest Neighborhood Library,"1349 W 43rd St, Houston, TX 77018",29.82777624,-95.43367402,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Harriet and Joe Foster Family YMCA,"1234 W 34th St, Houston, TX 77018",29.81848414,-95.42184531,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,7:00AM-6:00PM,12:00PM-5:00PM
TECHLink Dixon," 8002 Hirsch Rd, Houston, TX 77016",29.83359947,-95.32821999,12:00PM-8:00PM,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
McCrane-Kashmere Gardens Library,"5411 Pardee St, Houston, TX 77026",29.80627478,-95.31630131,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Tuttle Neighborhood Library,"702 Kress St, Houston, TX 77020",29.77634332,-95.30766697,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
"Judson Robinson, Sr.  Community Center","1422 Ledwicke St, Houston, TX 77029",29.76346993,-95.27057751,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,10:00AM-2:00PM,
Hartman Community Center,"9311 E Avenue P, Houston, TX 77012",29.72102695,-95.26119973,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,10:00AM-2:00PM,
Park Place Regional Library,"8145 Park Pl Blvd, Houston, TX 77017",29.68774381,-95.27523099,12:00PM-8:00PM,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Houston Texans YMCA,"5202 Griggs Rd, Houston, TX 77021",29.69754477,-95.33566473,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,8:00AM-2:00PM,
Young Neighborhood Library,"5107 Griggs Rd, Houston, TX 77021",29.69862288,-95.33668938,12:00PM-8:00PM,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
